product_id,symbol,min_trade_size(最小交易量),quote_increment(计价货币精度),base_increment(交易货币精度)
541,lba_usdt,0.1,0.00010000,0.00010000
542,ok06ett_usdt,0.01,0.00010000,0.00000001
543,cai_okb,10,0.00000100,0.00100000
544,lsk_btc,0.01,0.00000001,0.00000001
545,lsk_eth,0.01,0.00000001,0.00000001
546,lsk_usdt,0.01,0.00010000,0.00000001
547,cai_btc,10,0.00000001,0.00010000
548,cai_eth,10,0.00000001,0.00010000
549,cai_usdt,10,0.00000100,0.00010000
550,ae_btc,0.01,0.00000001,0.00000001
551,ae_okb,0.01,0.00001000,0.00000001
552,sc_okb,10,0.00001000,0.00000001
553,kan_okb,10,0.00001000,0.00000001
554,win_okb,10,0.00000100,0.00100000
555,sc_eth,10,0.00000001,0.00000001
556,sc_btc,10,0.00000001,0.00000001
557,sc_usdt,10,0.00010000,0.00010000
558,ae_eth,0.01,0.00000001,0.00000001
559,ae_usdt,0.01,0.00010000,0.00010000
560,kan_btc,10,0.00000001,0.00000001
561,kan_eth,10,0.00000001,0.00000001
562,kan_usdt,10,0.00001000,0.00010000
563,win_btc,10,0.00000001,0.00100000
564,win_eth,10,0.00000001,0.00100000
565,win_usdt,10,0.00000100,0.00100000
566,ors_okb,1,0.00001000,0.00000001
567,mvp_okb,10,0.00001000,0.00010000
568,dcr_okb,0.01,0.00010000,0.00010000
569,dcr_btc,0.01,0.00000001,0.00000001
570,dcr_eth,0.01,0.00000001,0.00000001
571,dcr_usdt,0.01,0.00010000,0.00000001
572,waves_okb,0.01,0.00010000,0.00010000
573,waves_btc,0.01,0.00000001,0.00000001
574,waves_eth,0.01,0.00000001,0.00000001
575,waves_usdt,0.01,0.00010000,0.00000001
576,ors_btc,1,0.00000001,0.00000001
577,ors_eth,1,0.00000001,0.00000001
578,ors_usdt,1,0.00001000,0.00000001
579,mvp_btc,10,0.00000001,0.00000001
580,mvp_eth,10,0.00000001,0.00000001
581,mvp_usdt,10,0.00001000,0.00000001
582,nas_okb,0.1,0.00001000,0.00000001
583,xas_okb,0.1,0.00001000,0.00000001
584,cvt_okb,1,0.00001000,0.00000001
585,nxt_btc,1,0.00000001,0.00010000
586,zco_okb,1,0.00001000,0.00000001
